,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,diff_type
510,20327840,"Big, cosy, cool and calm Raval",24222016,My Friends House,Ciutat Vella,el Raval,41.3822272009,2.16872553419,Private room,100,1,3,2017-10-21,0.76,6,17,erased
522,2232289,Economic bohemian room in barcelona,11392371,Dina,Ciutat Vella,el Raval,41.3785175527,2.16831792294,Private room,20,1,112,2017-10-15,2.38,3,9,erased
524,14487669,Big sunny room with balcony in Raval,8648917,Rosa,Ciutat Vella,el Raval,41.3812316029,2.16438371319,Private room,32,5,1,2016-09-09,0.07,1,30,erased
540,7410303,Cozy space in excellent location,38575954,Mai,Ciutat Vella,el Raval,41.3836902054,2.1702303824,Entire home/apt,149,2,140,2017-11-23,4.84,1,345,erased
556,22171608,Authentic flat in the heart of Barcelona,137821042,Marc,Ciutat Vella,el Raval,41.3786256464,2.17286439766,Entire home/apt,55,1,0,,,1,357,erased
557,21843937,PARADISE ROOM 1,12355332,Sunny,Ciutat Vella,el Raval,41.3805452123,2.1654810563,Private room,22,1,0,,,3,334,erased
562,21713049,Simple and comfy Apartment Barcelona.,42686705,Carlos,Ciutat Vella,el Raval,41.3824370303,2.16714433608,Entire home/apt,60,4,0,,,4,362,erased
576,21837119,Sunny apartment in Raval Center,159225696,Diana,Ciutat Vella,el Raval,41.3818462505,2.16518211043,Private room,85,1,0,,,3,58,erased
577,19979830,Spacious apartment City Center 50 meters Rambla,141699827,Francisco,Ciutat Vella,el Raval,41.3791071584,2.16857215987,Entire home/apt,190,3,6,2017-09-25,1.44,1,79,erased
587,20861837,"HABITACION privada,CENTRO Barcelona.",144559506,Lou,Ciutat Vella,el Raval,41.3843365202,2.16865789485,Private room,35,1,13,2017-11-05,4.43,8,356,erased
590,3444223,DOUBLE ROOM_BOQUERIA MARKET,10997733,Cristina,Ciutat Vella,el Raval,41.380953409,2.17159605472,Private room,59,1,25,2017-01-01,1.06,1,365,erased
609,19359412,Nice flat in Barcelona center,29016203,David,Ciutat Vella,el Raval,41.3785461347,2.16513002451,Entire home/apt,100,4,3,2017-08-28,0.82,1,8,erased
616,5986369,PLAZA CATALUNYA ROOF TOP / TERRACE,6615586,William,Ciutat Vella,el Raval,41.3846579333,2.1651114046,Entire home/apt,80,4,30,2017-11-12,0.96,1,15,erased
617,20273261,Super Centric Flat with a Big Private Terrace,2952555,Frederic,Ciutat Vella,el Raval,41.3774191986,2.17233882207,Entire home/apt,200,3,11,2017-11-17,2.84,3,356,erased
642,4615377,Well located Studio in Barcelona City Center,9938977,Sam,Ciutat Vella,el Raval,41.3764464913,2.1759150887,Entire home/apt,50,3,81,2017-11-24,2.48,1,13,erased
656,21118942,The cute apartment in the heart of Barcelona,150164588,Leo,Ciutat Vella,el Raval,41.379078946,2.1702919118,Entire home/apt,79,1,0,,,5,36,erased
658,22112248,Cozy apartment in the center,161538374,Svetlana,Ciutat Vella,el Raval,41.3761809137,2.16713144318,Entire home/apt,45,1,0,,,2,19,erased
669,14470889,Central and Cozy Double Bedroom + Free Breakfast,655279,John&Feran,Ciutat Vella,el Raval,41.3839663177,2.16501455607,Private room,29,1,69,2017-11-28,4.43,4,359,erased
670,21942094,20 m to ramblas. Anoi central  balcony big room,160151769,Pau,Ciutat Vella,el Raval,41.3788944445,2.1726812651,Private room,21,3,0,,,4,80,erased
674,22073774,Central location!,161246640,Luke,Ciutat Vella,el Raval,41.3787837744,2.16963199931,Private room,70,1,0,,,4,20,erased
675,21942803,20 meters to ramblas quiet balcony,160151769,Pau,Ciutat Vella,el Raval,41.3803013474,2.1735564161,Private room,18,3,0,,,4,88,erased
682,18862875,"Chic & Cosy Apartment , nearby the center",2689009,Liora,Ciutat Vella,el Raval,41.3783305838,2.16502310373,Entire home/apt,130,3,11,2017-10-31,1.84,1,172,erased
683,22074179,Central location!!!!,161246640,Luke,Ciutat Vella,el Raval,41.3790540676,2.16975343515,Private room,25,1,0,,,4,19,erased
686,6345557,Bright Double Room in the center of BCN for 2-4,33048789,Karina,Ciutat Vella,el Raval,41.3769040449,2.16966337399,Private room,38,1,112,2017-11-02,3.69,2,359,erased
690,6476995,BEAUTIFUL DOUBLE ROOM CITY CENTER,33835207,María,Ciutat Vella,el Raval,41.3840619331,2.16816522885,Private room,66,2,50,2017-11-06,1.62,1,74,erased
700,22009696,Luxury room with private bathroom in the Rambla,40725522,Lucia,Ciutat Vella,el Raval,41.380678137,2.17234053264,Private room,50,2,0,,,1,24,erased
710,20241270,Room La Rambla,144255950,Davit,Ciutat Vella,el Raval,41.3807477494,2.17211785883,Private room,30,7,1,2017-09-04,0.31,1,0,erased
